request_url,title,created_at,display_status,described_state,user_name,user_url,public_body_name,public_body_url,public_body_tags,response_count
https://opramachine.com/request/email_logs_for_george_snyder,Email logs for George Snyder,2017-10-26T12:33:17.291-04:00,Partially successful.,partially_successful,Gavin Rozzi,https://opramachine.com/user/gavin_rozzi,Howell Township,https://opramachine.com/body/howell_township,MonmouthCounty municipal,3
https://opramachine.com/request/request_for_copies_of_opra_reque,Request for Copies of OPRA Requests,2017-10-26T13:27:21.695-04:00,Long overdue.,waiting_response,Phil Stilton,https://opramachine.com/user/phil_stilton,Jackson Township,https://opramachine.com/body/jackson_township,municipal OceanCounty,1
https://opramachine.com/request/police_use_of_force_reports_janu,"Police use of force reports, January - October, 2017",2017-10-30T12:20:15.397-04:00,Delivery error,error_message,Gavin Rozzi,https://opramachine.com/user/gavin_rozzi,Barnegat Light Borough,https://opramachine.com/body/barnegat_light_borough,municipal OceanCounty,0
https://opramachine.com/request/police_use_of_force_reports_janu_2,"Police use of force reports, January - October, 2017",2017-10-30T12:21:16.769-04:00,Partially successful.,partially_successful,Gavin Rozzi,https://opramachine.com/user/gavin_rozzi,Barnegat Township,https://opramachine.com/body/barnegat_township,municipal OceanCounty,3
https://opramachine.com/request/police_use_of_force_reports_janu_3,"Police use of force reports, January - October, 2017",2017-10-30T12:22:17.589-04:00,Partially successful.,partially_successful,Gavin Rozzi,https://opramachine.com/user/gavin_rozzi,Bay Head Borough,https://opramachine.com/body/bay_head_borough,municipal OceanCounty,2
https://opramachine.com/request/police_use_of_force_reports_janu_4,"Police use of force reports, January - October, 2017",2017-10-30T12:23:18.890-04:00,Partially successful.,partially_successful,Gavin Rozzi,https://opramachine.com/user/gavin_rozzi,Beach Haven Borough,https://opramachine.com/body/beach_haven_borough,municipal OceanCounty,3
https://opramachine.com/request/police_use_of_force_reports_janu_5,"Police use of force reports, January - October, 2017",2017-10-30T12:24:19.756-04:00,Partially successful.,partially_successful,Gavin Rozzi,https://opramachine.com/user/gavin_rozzi,Beachwood Borough,https://opramachine.com/body/beachwood_borough,municipal OceanCounty,2
https://opramachine.com/request/police_use_of_force_reports_janu_6,"Police use of force reports, January - October, 2017",2017-10-30T12:25:20.861-04:00,Partially successful.,partially_successful,Gavin Rozzi,https://opramachine.com/user/gavin_rozzi,Belmar Borough,https://opramachine.com/body/belmar_borough,MonmouthCounty municipal,1
https://opramachine.com/request/police_use_of_force_reports_janu_7,"Police use of force reports, January - October, 2017",2017-10-30T12:26:21.820-04:00,Partially successful.,partially_successful,Gavin Rozzi,https://opramachine.com/user/gavin_rozzi,Berkeley Township,https://opramachine.com/body/berkeley_township,municipal OceanCounty,3
https://opramachine.com/request/police_use_of_force_reports_janu_8,"Police use of force reports, January - October, 2017",2017-10-30T12:27:22.652-04:00,Partially successful.,partially_successful,Gavin Rozzi,https://opramachine.com/user/gavin_rozzi,Brick Township,https://opramachine.com/body/brick_township,municipal OceanCounty,1
